angle_of_attack,heavy_ballast_no_cranes,ballast_no_cranes,heavy_ballast_cranes,ballast_cranes
0,-0.68,-0.59,-0.75,-0.71
10,-0.67,-0.63,-0.91,-0.84
20,-0.66,-0.56,-0.94,-0.89
30,-0.62,-0.55,-0.87,-0.82
40,-0.58,-0.5,-0.8,-0.7
50,-0.45,-0.36,-0.59,-0.49
60,-0.31,-0.21,-0.34,-0.23
70,-0.13,-0.06,-0.18,-0.12
80,-0.1,0.01,0.02,0.01
90,-0.13,0,0.11,-0.02
100,-0.05,0.02,0.1,0.02
110,0.08,0.04,0.22,0.12
120,0.21,0.09,0.44,0.36
130,0.39,0.28,0.65,0.55
140,0.57,0.44,0.78,0.71
150,0.65,0.56,0.81,0.76
160,0.71,0.61,0.85,0.79
170,0.71,0.64,0.82,0.8
180,0.8,0.64,0.7,0.68
