angle_of_attack,angle_of_attack_degs,cx_ballast_no_containers,cx_laden_with_containers,cx_no_containers_lashing_laden,cx_no_containers_lashing_ballast
0.0,0,-0.86,-0.67,-1.01,-0.97
0.2617993877991494,15,-0.89,-0.76,-1.11,-1.06
0.5235987755982988,30,-0.69,-0.66,-1.11,-0.9
0.7853981633974483,45,-0.68,-0.4,-0.95,-0.79
1.0471975511965976,60,-0.6,-0.25,-0.74,-0.65
1.3089969389957472,75,-0.46,-0.21,-0.46,-0.46
1.5707963267948966,90,-0.28,-0.26,-0.13,-0.25
1.8325957145940461,105,0.04,-0.04,0.28,0.12
2.0943951023931953,120,0.41,0.36,0.77,0.49
2.356194490192345,135,0.81,0.69,1.09,0.91
2.6179938779914944,150,0.99,0.9,1.18,1.04
2.8797932657906435,165,1.0,0.85,1.19,1.08
3.141592653589793,180,0.89,0.67,0.94,0.93
