angle_of_attack,angle_of_attack_degs,average
0.0,0,-0.6
0.17453292519943295,10,-0.87
0.3490658503988659,20,-1.0
0.5235987755982988,30,-1.0
0.6981317007977318,40,-0.88
0.8726646259971648,50,-0.85
1.0471975511965976,60,-0.65
1.2217304763960306,70,-0.42
1.3962634015954636,80,-0.27
1.5707963267948966,90,-0.09
1.7453292519943295,100,0.09
1.9198621771937625,110,0.49
2.0943951023931953,120,0.84
2.443460952792061,140,1.39
2.6179938779914944,150,1.47
2.792526803190927,160,1.34
2.9670597283903604,170,0.92
3.141592653589793,180,0.82
