angle_of_attack,angle_of_attack_degs,cx_prismatic_integrated
0.0,0,-1.02
0.17453292519943295,10,-0.99
0.3490658503988659,20,-0.93
0.5235987755982988,30,-0.83
0.6981317007977318,40,-0.67
0.8726646259971648,50,-0.48
1.0471975511965976,60,-0.3
1.2217304763960306,70,-0.14
1.3962634015954636,80,-0.03
1.5707963267948966,90,0.05
1.7453292519943295,100,0.11
1.9198621771937625,110,0.24
2.0943951023931953,120,0.41
2.2689280275926285,130,0.56
2.443460952792061,140,0.68
2.6179938779914944,150,0.79
2.792526803190927,160,0.88
2.9670597283903604,170,0.92
3.141592653589793,180,0.91
